quarter,tsnh,no_nh,no_phai_tra,tong_ts,vcsh,hang_ton_kho,phai_thu_kh,tien,doanh_thu,ebt,lai_vay,lnst,cfo,ticker,nganh
2026-Q1,104365180994071.0,86369839061570.0,119545707998756.0,259327500205228.0,139781792206472.0,43515585272210.0,10919196457706.0,11455231038505.0,52900847302653.0,10762183839545.0,-1333414699291.0,9055918200023.0,6816755450021.0,HPG,San xuat
2025-Q4,103659402759724.0,94186268324508.0,126679189940972.0,257899200817547.0,131220010876575.0,52828227344442.0,10971774018235.0,8300890304205.0,46176484549771.0,4600129962763.0,-1236524775157.0,3888349733267.0,8564297977440.0,HPG,San xuat
2025-Q3,95425988115582.0,83163272833172.0,118655326188383.0,246171338287652.0,127516012099269.0,45623656431728.0,7979265010316.0,9092562739415.0,36407416403924.0,4628313172434.0,-812194101705.0,4012252316723.0,8294398995676.0,HPG,San xuat
2025-Q2,97613904938535.0,86427453449629.0,119865026005768.0,242224530919050.0,122359504913282.0,48853408114115.0,8196017496272.0,10688024277258.0,35910519111209.0,4972383493663.0,-439112631420.0,4264524105532.0,3285102529955.0,HPG,San xuat
2026-Q1,14955051030445.0,11727539800379.0,11745132156780.0,23224808093677.0,11479675936897.0,10179336416329.0,2126186399413.0,963144064326.0,8967069096921.0,156363665474.0,-108215714910.0,118666895119.0,-1187705487699.0,HSG,San xuat
2025-Q4,13455528388214.0,9665003804902.0,9681983135868.0,21058290984205.0,11376307848337.0,9439963068863.0,1593044404765.0,858258243911.0,8383072239116.0,96408784247.0,-52210780267.0,62350491842.0,-957800904678.0,HSG,San xuat
2025-Q3,11715671714140.0,7598266235772.0,7614415050988.0,18953042840245.0,11338627789257.0,8203702938983.0,1603418011169.0,427830965127.0,8356617952866.0,116396978147.0,-47058761250.0,88163510836.0,1229207464132.0,HSG,San xuat
2025-Q2,12416615897313.0,7867163334718.0,7884016796035.0,19139652761092.0,11255635965057.0,8042317648744.0,2424112172607.0,706437924435.0,9509181798369.0,290328815438.0,-42601433022.0,273786344313.0,398285469695.0,HSG,San xuat
2026-Q1,8957538915429.0,6042679894480.0,8391746054218.0,16048601397787.0,7656855343569.0,4344572522243.0,1176886769455.0,601149457799.0,3261407519137.0,25183125131.0,-47200134787.0,21461998610.0,476808466193.0,NKG,San xuat
2025-Q4,9702800286228.0,6568317739511.0,8858518857128.0,16493912202087.0,7635393344959.0,5303103397208.0,1259898746776.0,838864110479.0,3136450576858.0,-11375737130.0,-48677455839.0,-9434816079.0,794382723983.0,NKG,San xuat
2025-Q3,9706183140086.0,6765831397949.0,8839509467837.0,16473047628875.0,7633538161038.0,5048847790849.0,1758810399141.0,348061394681.0,3773050023984.0,58869356799.0,-54699447037.0,49532398781.0,161768294626.0,NKG,San xuat
2025-Q2,10536296579283.0,7499627370080.0,8913469110901.0,16494088800395.0,7580619689494.0,6141800654548.0,1284928737209.0,522553150579.0,3808494902169.0,112278440321.0,-59943785739.0,91593970066.0,-62762070023.0,NKG,San xuat
2026-Q1,14465607845089.0,2194868960755.0,2258009668682.0,18093336361696.0,15835326693014.0,1783910093372.0,582051840898.0,266877422938.0,2124590770642.0,497561182050.0,-6603199308.0,430050204880.0,-1093032256877.0,DGC,San xuat
2025-Q4,16123562441502.0,4080509528892.0,4144126400937.0,19550157059427.0,15406030658490.0,1681123582821.0,651126141033.0,1040520433824.0,2740572557296.0,740085389424.0,-11965996629.0,656932630916.0,785726512356.0,DGC,San xuat
2025-Q3,16217423586242.0,3348808331166.0,3413453381832.0,19424382428034.0,16010929046202.0,1870536896155.0,553426006410.0,338992873514.0,2816715906274.0,901292276958.0,-11932581651.0,804394485516.0,281100568505.0,DGC,San xuat
2025-Q2,14783064557015.0,2933168817081.0,2998410702251.0,18204945263218.0,15206534560967.0,1284874647212.0,648885057147.0,191299130677.0,2894397358486.0,986325309764.0,-9878436346.0,890856644586.0,623542349876.0,DGC,San xuat
2026-Q1,1734110160493.0,437220215965.0,452220215965.0,2118988039812.0,1666767823847.0,475021771503.0,484184969750.0,49972981891.0,628310844674.0,56885321415.0,-2534644453.0,45148856944.0,-92223829720.0,CSV,San xuat
2025-Q4,1678566437240.0,421333701407.0,437085321328.0,2058704288231.0,1621618966903.0,484719703087.0,374236864767.0,91717440019.0,644015397847.0,56630309452.0,-2307399341.0,41436124822.0,78150569494.0,CSV,San xuat
2025-Q3,1730036564933.0,536537948787.0,536537948787.0,2137621330868.0,1601083382081.0,493266154175.0,337661702041.0,104701206831.0,510068262517.0,75498573457.0,-2068850576.0,60065383211.0,-115063115912.0,CSV,San xuat
2025-Q2,1688726443571.0,527697992377.0,527697992377.0,2068717664247.0,1541019671870.0,486820906070.0,249911857797.0,131038734188.0,523585483782.0,90485985623.0,-1065706211.0,71824335654.0,72839781026.0,CSV,San xuat
2026-Q1,15673674735289.0,6370418722297.0,7316452765621.0,18851713849730.0,11535261084109.0,4665130721157.0,721790031652.0,4072576999902.0,5286049223911.0,877724690998.0,-27532179151.0,788628607348.0,433614881721.0,DCM,San xuat
2025-Q4,14447094769514.0,5935262101827.0,6849275971125.0,17643638367886.0,10794362396761.0,4808860027791.0,678419194118.0,3590267536235.0,4198621498161.0,486771844353.0,-17918568929.0,434023276764.0,1241059181458.0,DCM,San xuat
2025-Q3,13523411387807.0,5072656070620.0,5951310916102.0,16505617049382.0,10554306133280.0,4596641436788.0,276852001002.0,1940788382411.0,2988230261406.0,378575795716.0,-18985966367.0,327967922643.0,-3613514994575.0,DCM,San xuat
2025-Q2,15061351351872.0,6653357358640.0,7567833288235.0,17819362546772.0,10251529258537.0,2795027550016.0,376005602055.0,3828732110334.0,6037370666327.0,888241830801.0,-18018502996.0,787736646664.0,1845520443329.0,DCM,San xuat
2026-Q1,14773851304782.0,6125118045188.0,6340404276970.0,18156994486822.0,11816590209852.0,3064378472830.0,1558167486798.0,1191436947177.0,5623198207327.0,514554366312.0,-43599739426.0,410836235060.0,897032331342.0,DPM,San xuat
2025-Q4,14509456783696.0,6028505903383.0,6243792135165.0,17776328981155.0,11532536845990.0,3433708262496.0,1054403839965.0,1168353223865.0,3414363337789.0,244661873466.0,-49408517962.0,232076599170.0,-932956428400.0,DPM,San xuat
2025-Q3,15690848754234.0,7294074963469.0,7476253092779.0,18818185325305.0,11341932232526.0,3246083696300.0,907291179979.0,787537427166.0,3728761982359.0,353300178755.0,-34337939051.0,238751063252.0,-2086304437468.0,DPM,San xuat
2025-Q2,15336796245358.0,6643716780677.0,6821850637959.0,18541934272803.0,11720083634844.0,1967827874183.0,469294124531.0,971208834176.0,5301128849642.0,501879984560.0,-33004010024.0,413245742446.0,1034931097359.0,DPM,San xuat
2026-Q1,38757016956726.0,18456942372620.0,18740931850130.0,55429011127169.0,36688079277039.0,7399150703886.0,4883108025108.0,2077596293461.0,16148657871623.0,3014396468576.0,-118301437284.0,2458221002532.0,269326997516.0,VNM,San xuat
2025-Q4,36261180908033.0,18520286019795.0,18829355431194.0,53312370717301.0,34483015286107.0,6839279842936.0,4701653413423.0,1794879718871.0,17033552405954.0,3476999882086.0,-89980184766.0,2827199040932.0,1738942804862.0,VNM,San xuat
2025-Q3,38746850813464.0,17327809293171.0,17725023298796.0,55677822006663.0,37952798707867.0,6308583334358.0,4813124478938.0,5154466367051.0,16953231537863.0,3125600614052.0,-75464626344.0,2510532743203.0,3157043663634.0,VNM,San xuat
2025-Q2,38255091705279.0,19190691020760.0,19595608095818.0,55282661244375.0,35687053148557.0,7047730548255.0,4539163648054.0,2498443286245.0,16724597479554.0,3096088533277.0,-85204331624.0,2488584680280.0,3896865384081.0,VNM,San xuat
2026-Q1,31419317000000.0,41645707000000.0,84455333000000.0,130717940000000.0,46262607000000.0,11329909000000.0,1543918000000.0,7081065000000.0,24019754000000.0,2320177000000.0,-1214557000000.0,1973577000000.0,3473727000000.0,MSN,San xuat
2025-Q4,36234495000000.0,40257475000000.0,83884527000000.0,128963171000000.0,45078644000000.0,11262216000000.0,1274262000000.0,12101850000000.0,23245825000000.0,2667377000000.0,-1231475000000.0,2295343000000.0,-1155039000000.0,MSN,San xuat
2025-Q3,32214095000000.0,37637809000000.0,78378057000000.0,121351209000000.0,42973152000000.0,10307815000000.0,1457122000000.0,13266315000000.0,21163826000000.0,2152071000000.0,-1682274000000.0,1865752000000.0,1253779000000.0,MSN,San xuat
2025-Q2,32650920000000.0,36915519000000.0,81823900000000.0,123466559000000.0,41642659000000.0,10282782000000.0,1126386000000.0,10552742000000.0,18315140000000.0,1846273000000.0,-1111787000000.0,1619376000000.0,1346737000000.0,MSN,San xuat
2026-Q1,22187871267460.0,5953543692064.0,6674875070990.0,30874279886047.0,24199404815057.0,2062975444335.0,691788246159.0,3698868639029.0,6457179625505.0,1547866561729.0,-7553159578.0,1245443937892.0,951444864456.0,SAB,San xuat
2025-Q4,22140977869887.0,8880281129189.0,9597538547160.0,32597353623714.0,22999815076554.0,2027351808101.0,697568047845.0,4016881626734.0,6836551694306.0,1372467156211.0,-7381678847.0,1119088558719.0,547695256033.0,SAB,San xuat
2025-Q3,20479352019762.0,6112332031218.0,6832228993871.0,31334772127400.0,24502543133529.0,1744058989274.0,572331148186.0,2910495187563.0,6436577577988.0,1695788585252.0,-7297682237.0,1403724992261.0,1158834150043.0,SAB,San xuat
2025-Q2,25102973272497.0,9852424610880.0,10322437517835.0,33196779117344.0,22874341599509.0,1664304566153.0,671941161116.0,6502903596185.0,6804334314775.0,1561500118324.0,-8765781329.0,1250676288766.0,2317370499649.0,SAB,San xuat
2026-Q1,5852139005275.0,4885445130541.0,5937459985803.0,13321386307372.0,7383926321569.0,1272554578375.0,390428620055.0,829694664003.0,2481593304229.0,37685491711.0,-50366881169.0,32054980271.0,280924756056.0,KDC,San xuat
2025-Q4,6674909250681.0,5066436251287.0,6169173406985.0,13907212327484.0,7738038920499.0,1504306826902.0,382966335699.0,1541628761456.0,2468358446192.0,569351949414.0,-55726274363.0,460869529395.0,461554678605.0,KDC,San xuat
2025-Q3,5188203038490.0,4663012516254.0,5797727892938.0,13074894776790.0,7277166883852.0,1378395985326.0,366450732514.0,607088600219.0,2429368437021.0,72910086776.0,-50019286737.0,66682069202.0,152934143252.0,KDC,San xuat
2025-Q2,6256212823905.0,4847413391219.0,6019417482430.0,13239639946059.0,7220222463629.0,1269429626996.0,412738238569.0,1224661660594.0,2010835117277.0,131377350521.0,-50941227301.0,124663341025.0,-529223347301.0,KDC,San xuat
2026-Q1,12214823852468.0,4592693379240.0,4749503746350.0,15474649552238.0,10725145805888.0,2066185526671.0,435360683469.0,442169999761.0,2763376725791.0,446869945177.0,-37477086553.0,391480644703.0,36321373157.0,QNS,San xuat
2025-Q4,10880768027045.0,3544457081077.0,3704339891701.0,14350118600886.0,10645778709185.0,1365867430934.0,340511559782.0,272162624875.0,2702626478534.0,712958126214.0,-21804635414.0,597917199920.0,613110728269.0,QNS,San xuat
2025-Q3,10515411349954.0,3744681802520.0,3924494135293.0,13972355644558.0,10047861509265.0,1713888393855.0,363436670281.0,346293265353.0,2684916229166.0,440590472588.0,-25044177865.0,380896878791.0,1139640955000.0,QNS,San xuat
2025-Q2,11328090115765.0,4615332816599.0,4794866049372.0,14773944227846.0,9979078178474.0,2567657598098.0,302834870722.0,791127557812.0,2917912365525.0,621052829731.0,-32688763969.0,546039818045.0,822098897065.0,QNS,San xuat
2026-Q1,3707157964171.0,4030817035239.0,5498299320896.0,7496606925773.0,1998307604877.0,1805275133280.0,829160991484.0,401569939062.0,1951958485537.0,75366593095.0,-70972572801.0,60281017096.0,-595150454297.0,TNG,San xuat
2025-Q4,3368332182728.0,3817787340253.0,4907134060262.0,6909526281043.0,2002392220781.0,1445531410182.0,996172095899.0,317238236802.0,2027470541286.0,134875280195.0,-38069675999.0,112715753208.0,763460789362.0,TNG,San xuat
2025-Q3,3328360285665.0,3626704829669.0,4748254192922.0,6702296296495.0,1954042103573.0,1200934474189.0,1288666201662.0,150625834308.0,2632837161498.0,146305293855.0,-71293006201.0,117044235088.0,221866188410.0,TNG,San xuat
2025-Q2,3550537021836.0,3922341487199.0,4966547362122.0,6803545230607.0,1836997868485.0,1561030517548.0,1233989413676.0,63235566469.0,2527634600207.0,149994813282.0,-50438710694.0,120015561062.0,-9266980347.0,TNG,San xuat
2026-Q1,3144916153831.0,496776570927.0,1165479226793.0,3825688919992.0,2660209693199.0,2051783782186.0,66740704577.0,319825305051.0,197370920315.0,16782337944.0,-1261164797.0,11284313357.0,-166971578453.0,GIL,San xuat
2025-Q4,3122146930242.0,475879628296.0,1147518071982.0,3797912574384.0,2650394502402.0,1915794251541.0,67292492674.0,333080969102.0,260520572457.0,154541874291.0,11121369041.0,139048360912.0,-121519070596.0,GIL,San xuat
2025-Q3,3126722009991.0,570078100219.0,1190880558609.0,3630450282554.0,2439569723945.0,1881036686726.0,72265341948.0,378320593523.0,198146057575.0,-31748952315.0,-6394252985.0,-32994575551.0,-184520550839.0,GIL,San xuat
2025-Q2,2977927179240.0,386431640146.0,1001100532501.0,3475150051997.0,2474049519496.0,1768085162678.0,46050920986.0,348844563226.0,128933218150.0,-69389620491.0,-7370179708.0,-71662859590.0,-210864403871.0,GIL,San xuat
2026-Q1,2911107628039.0,1394479146166.0,2026392182894.0,4319203169035.0,2292810986141.0,889089455262.0,565899540126.0,208823449240.0,1041226318995.0,103278576909.0,-15351040831.0,81295237914.0,-275809489564.0,MSH,San xuat
2025-Q4,3275000080003.0,1816616190768.0,2464529227496.0,4677754975723.0,2213225748227.0,546122052854.0,943209085112.0,739632646576.0,1388373022337.0,251007622662.0,-15281030139.0,207905353991.0,92394019504.0,MSH,San xuat
2025-Q3,3654280723629.0,1860463990744.0,2480469661072.0,4960374135308.0,2479904474236.0,651138957921.0,869752882403.0,883916760368.0,1646711714383.0,244697692441.0,-16214636425.0,200704624815.0,524650518021.0,MSH,San xuat
2025-Q2,3495719032359.0,1906555425489.0,2513408113775.0,4790907529213.0,2277499415438.0,849319704593.0,1003909913221.0,587082673390.0,1466807524314.0,218572426618.0,-19142208160.0,179956394878.0,-10859283688.0,MSH,San xuat
2026-Q1,1359619459957.0,1355377667981.0,2408841349362.0,4131764906341.0,1722923556979.0,979444684963.0,96631781163.0,82669082470.0,268341669339.0,-31253229256.0,-41745705315.0,-34434109140.0,-110129468401.0,STK,San xuat
2025-Q4,1326044872890.0,1372913349262.0,2397769231267.0,4155126897386.0,1757357666119.0,984257622311.0,86043883431.0,57928953855.0,324293190359.0,19934048261.0,-14831798470.0,10634361393.0,-65088611374.0,STK,San xuat
2025-Q3,1285983496713.0,1531203363037.0,2367917774209.0,4114641078935.0,1746723304726.0,929820148939.0,109563752793.0,56523706440.0,318955288378.0,22968132575.0,-12470726083.0,10352546617.0,-67281608650.0,STK,San xuat
2025-Q2,1027114176109.0,1334573083900.0,2142636242342.0,3879007000453.0,1736370758111.0,764977147088.0,73411020752.0,8224967007.0,333358213510.0,1774068928.0,-8806732773.0,-6606126195.0,-74241804140.0,STK,San xuat
2026-Q1,2898540585624.0,1566588962052.0,1778556781056.0,4235607769989.0,2457050988933.0,949413053743.0,583948474317.0,781180775259.0,1010211348944.0,82205223989.0,-9973541977.0,65998367320.0,-70357696603.0,TCM,San xuat
2025-Q4,2810959206998.0,1512858062758.0,1724014815517.0,4171199741030.0,2447184925513.0,987343611157.0,497326936706.0,814328555629.0,858141089944.0,58127860183.0,-9754757033.0,46740968977.0,329663931569.0,TCM,San xuat
